drugbank_id	category	mesh_id
DB00395	Muscle Relaxants, Skeletal		
DB00396	Progestins		
DB00396	Contraceptive Agents		
DB00397	Sympathomimetics		
DB00397	Appetite Depressants		
DB00397	Adrenergic alpha-Agonists		
DB00397	Nasal Decongestants		
DB00398	Antineoplastic Agents		
DB00399	Bone Density Conservation Agents		
DB00399	Antihypocalcemic Agents		
DB00399	Antiresorptives		
DB00399	Bisphosphonates		
DB00400	Antifungal Agents		
DB00400	Anti-Bacterial Agents		
DB00401	Antihypertensive Agents		
DB00401	Vasodilator Agents		
DB00401	Calcium Channel Blockers		
DB00402	Hypnotics and Sedatives		
DB00403	Diagnostic Agents		
DB00404	Anti-Anxiety Agents		
DB00404	Hypnotics and Sedatives		
DB00404	GABA Modulators		
DB00404	Benzodiazepines		
DB00405	Histamine H1 Antagonists		
DB00405	Histamine Antagonists		
DB00406	Anti-Infective Agents, Local		
DB00407	Antithrombins		
DB00407	Heparins		
DB00408	Antipsychotic Agents		
DB00408	Dopamine Antagonists		
DB00409	Antipsychotic Agents		
DB00409	Dopamine Antagonists		
DB00410	Anti-Bacterial Agents		
DB00410	Protein Synthesis Inhibitors		
DB00410	Antibiotics		
DB00411	Cardiotonic Agents		
DB00411	Analgesics, Non-Narcotic		
DB00411	Cholinergic Agonists		
DB00411	Miotics		
DB00413	Antioxidants		
DB00413	Antiparkinson Agents		
DB00413	Dopamine Agonists		
DB00413	Antidyskinetics		
DB00414	Hypoglycemic Agents		
DB00414	Antidiabetic Agents		
DB00415	Anti-Bacterial Agents		
DB00415	Penicillins		
DB00417	Anti-Bacterial Agents		
DB00417	Penicillins		
DB00418	Hypnotics and Sedatives		
DB00418	Adjuvants, Anesthesia		
DB00418	GABA Modulators		
DB00418	Barbiturates		
DB00418	Adjuvants		
DB00419	Enzyme Inhibitors		
DB00420	Antipsychotic Agents		
DB00420	Antiemetics		
DB00420	Dopamine Antagonists		
DB00420	Phenothiazines		
DB00421	Diuretics		
DB00421	Mineralocorticoid Receptor Antagonists		
DB00422	Central Nervous System Stimulants		
DB00422	Dopamine Uptake Inhibitors		
DB00423	Muscle Relaxants, Central		
DB00424	Anti-Arrhythmia Agents		
DB00424	Muscarinic Antagonists		
DB00424	Antispasmodics		
DB00425	Hypnotics and Sedatives		
DB00425	GABA-A Receptor Agonists		
DB00426	Antiviral Agents		
DB00426	Prodrugs		
DB00426	Nucleic Acids, Nucleotides, and Nucleosides		
DB00428	Antibiotics, Antineoplastic		
DB00428	Antibiotics		
DB00430	Anti-Bacterial Agents		
DB00430	Cephalosporins		
DB00431	Insecticides		
DB00431	Antiscabies Agents		
DB00432	Antiviral Agents		
DB00432	Antimetabolites		
DB00433	Antipsychotic Agents		
DB00433	Antiemetics		
DB00433	Dopamine Antagonists		
DB00433	Phenothiazines		
DB00434	Anti-Allergic Agents		
DB00434	Gastrointestinal Agents		
DB00434	Serotonin Antagonists		
DB00434	Antipruritics		
DB00434	Histamine H1 Antagonists		
DB00435	Bronchodilator Agents		
DB00435	Endothelium-Dependent Relaxing Factors		
DB00435	Free Radical Scavengers		
DB00435	Neurotransmitter Agents		
DB00436	Antihypertensive Agents		
DB00436	Diuretics		
DB00436	Sodium Chloride Symporter Inhibitors		
DB00437	Gout Suppressants		
DB00437	Enzyme Inhibitors		
DB00437	Antimetabolites		
DB00437	Free Radical Scavengers		
DB00438	Anti-Bacterial Agents		
DB00438	Cephalosporins		
DB00439	Hypolipidemic Agents		
DB00440	Anti-Infective Agents		
DB00441	Antiviral Agents		
DB00441	Immunosuppressive Agents		
DB00441	Enzyme Inhibitors		
DB00441	Antimetabolites, Antineoplastic		
DB00441	Radiation-Sensitizing Agents		
DB00443	Anti-Asthmatic Agents		
DB00443	Anti-Inflammatory Agents		
DB00443	Glucocorticoids		
DB00443	Corticosteroids		
DB00444	Antineoplastic Agents		
DB00444	Enzyme Inhibitors		
DB00444	Nucleic Acid Synthesis Inhibitors		
DB00445	Antibiotics, Antineoplastic		
DB00446	Anti-Bacterial Agents		
DB00446	Protein Synthesis Inhibitors		
DB00447	Anti-Bacterial Agents		
DB00447	Antibiotics		
DB00448	Enzyme Inhibitors		
DB00448	Anti-Ulcer Agents		
DB00448	Proton Pump Inhibitors		
DB00448	Anti-Infective Agents		
DB00449	Adrenergic Agonists		
DB00449	Ophthalmics		
DB00450	Antipsychotic Agents		
DB00450	Adjuvants, Anesthesia		
DB00450	Antiemetics		
DB00450	Dopamine Antagonists		
DB00452	Anti-Bacterial Agents		
DB00452	Aminoglycosides		
DB00452	Antibiotics		
DB00453	Tetracyclines		
DB00454	Adjuvants		
DB00455	Anti-Allergic Agents		
DB00455	Antipruritics		
DB00455	Histamine H1 Antagonists, Non-Sedating		
DB00455	Histamine Antagonists		
DB00456	Anti-Bacterial Agents		
DB00456	Cephalosporins		
DB00457	Antihypertensive Agents		
DB00457	Adrenergic alpha-1 Receptor Antagonists		
DB00457	Adrenergic alpha-Antagonists		
DB00458	Adrenergic Uptake Inhibitors		
DB00458	Antidepressive Agents, Tricyclic		
DB00459	Keratolytic Agents		
DB00460	Antineovascularisation Agents		
DB00461	Cyclooxygenase 2 Inhibitors		
DB00462	Parasympatholytics		
DB00462	Cholinergic Antagonists		
DB00462	Antispasmodics		
DB00464	Sclerosing Solutions		
DB00464	Surface-Active Agents		
DB00465	Anti-Inflammatory Agents, Non-Steroidal		
DB00465	Cyclooxygenase Inhibitors		
DB00466	GABA Antagonists		
DB00466	Convulsants		
DB00466	Stimulants		
DB00468	Antimalarials		
DB00468	Analgesics, Non-Narcotic		
DB00468	Muscle Relaxants, Central		
DB00469	Anti-Inflammatory Agents, Non-Steroidal		
DB00469	Cyclooxygenase Inhibitors		
DB00470	Analgesics, Non-Narcotic		
DB00470	Cannabinoid Receptor Agonists		
DB00470	Hallucinogens		
DB00470	Psychotropic Drugs		
DB00471	Anti-Arrhythmia Agents		
DB00472	Antidepressive Agents, Second-Generation		
DB00472	Serotonin Uptake Inhibitors		
DB00472	Serotonin Agents		
DB00473	Anesthetics, Local		
DB00474	Anesthetics, Intravenous		
DB00474	Barbiturates		
DB00475	Anti-Anxiety Agents		
DB00475	Hypnotics and Sedatives		
DB00475	Adjuvants, Anesthesia		
DB00475	GABA Modulators		
DB00475	Benzodiazepines		
DB00477	Antipsychotic Agents		
DB00477	Phenothiazines		
DB00479	Anti-Bacterial Agents		
DB00479	Aminoglycosides		
DB00480	Antineoplastic Agents		
DB00481	Bone Density Conservation Agents		
DB00481	Estrogen Antagonists		
DB00481	Selective Estrogen Receptor Modulators		
DB00481	Antihypocalcemic Agents		
DB00483	Neuromuscular Nondepolarizing Agents		
DB00483	Nicotinic Antagonists		
DB00483	Muscle Relaxants, Skeletal		
DB00484	Antihypertensive Agents		
DB00484	Adrenergic alpha-2 Receptor Agonists		
DB00484	EENT Preparations		
DB00485	Anti-Bacterial Agents		
DB00485	Penicillins		
DB00487	Nucleic Acid Synthesis Inhibitors		
DB00487	Anti-Infective Agents		
DB00488	Antineoplastic Agents, Alkylating		
DB00490	Anti-Anxiety Agents		
DB00490	Hypnotics and Sedatives		
DB00490	Serotonin Receptor Agonists		
DB00493	Anti-Bacterial Agents		
DB00493	Cephalosporins		
DB00494	Enzyme Inhibitors		
DB00494	Antiparkinson Agents		
DB00494	Antidyskinetics		
DB00495	Anti-HIV Agents		
DB00495	Antimetabolites		
DB00495	Reverse Transcriptase Inhibitors		
DB00496	Antispasmodic Agents		
DB00497	Analgesics, Opioid		
DB00497	Narcotics		
DB00497	Antitussive Agents		
DB00498	Anticoagulants		
DB00499	Antineoplastic Agents, Hormonal		
DB00499	Androgen Antagonists		
DB00500	Anti-Inflammatory Agents, Non-Steroidal		
DB00500	Cyclooxygenase Inhibitors		
DB00501	Adjuvants		
DB00502	Antipsychotic Agents		
DB00502	Butyrophenones		
DB00502	Antidyskinetics		
DB00504	Narcotic Antagonists		
DB00504	Antidotes		
DB00505	Cholinergic Antagonists		
DB00505	Antispasmodics		
DB00507	Antiparasitic Agents		
DB00508	Antipsychotic Agents		
DB00509	Hypolipidemic Agents		
DB00511	Enzyme Inhibitors		
DB00511	Anti-Arrhythmia Agents		
DB00511	Cardiotonic Agents		
DB00512	Anti-Bacterial Agents		
DB00514	Antitussive Agents		
DB00514	Excitatory Amino Acid Antagonists		
DB00515	Antineoplastic Agents		
DB00515	Cross-Linking Reagents		
DB00515	Radiation-Sensitizing Agents		
DB00516	Skin and Mucous Membrane Agents		
DB00517	Muscarinic Antagonists		
DB00517	Cholinergic Antagonists		
DB00519	Angiotensin-Converting Enzyme Inhibitors		
DB00519	Antihypertensive Agents		
DB00520	Antifungal Agents		
DB00521	Antihypertensive Agents		
DB00521	Sympatholytics		
DB00521	Anti-Arrhythmia Agents		
DB00521	Adrenergic beta-Antagonists		
DB00522	Indicators and Reagents		
DB00522	Diagnostic Agents		
DB00523	Antineoplastic Agents		
DB00524	Antihypertensive Agents		
DB00524	Diuretics		
DB00524	Sodium Chloride Symporter Inhibitors		
DB00525	Antifungal Agents		
DB00526	Antineoplastic Agents		
DB00527	Anesthetics, Local		
DB00528	Antihypertensive Agents		
DB00528	Calcium Channel Blockers		
DB00529	Antiviral Agents		
DB00529	Reverse Transcriptase Inhibitors		
DB00530	Protein Kinase Inhibitors		
DB00531	Antirheumatic Agents		
DB00531	Immunosuppressive Agents		
DB00531	Antineoplastic Agents, Alkylating		
DB00531	Mutagens		
DB00531	Myeloablative Agonists		
DB00532	Anticonvulsants		
DB00534	Diagnostic Agents		
DB00534	Diuretics, Mercurial		
DB00535	Anti-Bacterial Agents		
DB00535	Anti-Infective Agents		
DB00535	Cephalosporins		
DB00537	Anti-Infective Agents		
DB00537	Quinolones		
DB00538	Contrast Media		
DB00539	Antineoplastic Agents, Hormonal		
DB00539	Bone Density Conservation Agents		
DB00539	Selective Estrogen Receptor Modulators		
DB00540	Adrenergic Uptake Inhibitors		
DB00540	Antidepressive Agents, Tricyclic		
DB00540	Antidepressive Agents		
DB00541	Antineoplastic Agents, Phytogenic		
DB00541	Tubulin Modulators		
DB00542	Angiotensin-Converting Enzyme Inhibitors		
DB00542	Antihypertensive Agents		
DB00543	Antidepressive Agents, Second-Generation		
DB00543	Serotonin Uptake Inhibitors		
DB00543	Adrenergic Uptake Inhibitors		
DB00543	Dopamine Antagonists		
DB00543	Neurotransmitter Uptake Inhibitors		
DB00544	Immunosuppressive Agents		
DB00544	Antimetabolites		
DB00544	Antimetabolites, Antineoplastic		
DB00545	Antimyasthenic Agents		
DB00546	Antidepressive Agents		
DB00548	Antineoplastic Agents		
DB00548	Dermatologic Agents		
DB00549	Anti-Asthmatic Agents		
DB00549	Leukotriene Antagonists		
DB00550	Antimetabolites		
DB00550	Antithyroid Agents		
DB00551	Enzyme Inhibitors		
DB00552	Antineoplastic Agents		
DB00552	Adenosine Deaminase Inhibitors		
DB00552	Antibiotics		
DB00553	Photosensitizing Agents		
DB00553	Cross-Linking Reagents		
DB00553	Pigmenting Agents		
DB00554	Anti-Inflammatory Agents, Non-Steroidal		
DB00554	Cyclooxygenase Inhibitors		
DB00555	Anticonvulsants		
DB00555	Calcium Channel Blockers		
DB00555	Antidepressive Agents		
DB00556	Contrast Media		
DB00557	Hypnotics and Sedatives		
DB00557	Antipruritics		
DB00557	Histamine H1 Antagonists		
DB00558	Antiviral Agents		
DB00558	Enzyme Inhibitors		
DB00559	Antihypertensive Agents		
DB00560	Anti-Bacterial Agents		
DB00560	Tetracyclines		
DB00562	Stimulants		
DB00563	Antirheumatic Agents		
DB00563	Dermatologic Agents		
DB00563	Immunosuppressive Agents		
DB00563	Enzyme Inhibitors		
DB00563	Folic Acid Antagonists		
DB00563	Nucleic Acid Synthesis Inhibitors		
DB00563	Antimetabolites, Antineoplastic		
DB00563	Abortifacient Agents, Nonsteroidal		
DB00563	Abortifacient Agents		
DB00564	Anticonvulsants		
DB00564	Antimanic Agents		
DB00564	Analgesics, Non-Narcotic		
DB00565	Neuromuscular Blocking Agents		
DB00566	Chelating Agents		
DB00566	Antidotes		
DB00567	Anti-Bacterial Agents		
DB00567	Cephalosporins		
DB00569	Antithrombins		
DB00569	Anticoagulants		
DB00570	Antineoplastic Agents, Phytogenic		
DB00570	Tubulin Modulators		
DB00571	Antihypertensive Agents		
DB00571	Anti-Arrhythmia Agents		
DB00571	Vasodilator Agents		
DB00571	Adrenergic beta-Antagonists		
DB00572	Anti-Arrhythmia Agents		
DB00572	Bronchodilator Agents		
DB00572	Muscarinic Antagonists		
DB00572	Parasympatholytics		
DB00572	Adjuvants, Anesthesia		
DB00572	Mydriatics		
DB00573	Anti-Inflammatory Agents, Non-Steroidal		
DB00573	Cyclooxygenase Inhibitors		
DB00573	Propionates		
DB00574	Serotonin Uptake Inhibitors		
DB00574	Appetite Depressants		
DB00574	Serotonin Receptor Agonists		
DB00574	Serotonin Agents		
DB00574	Stimulants		
DB00575	Antihypertensive Agents		
DB00575	Sympatholytics		
DB00575	Analgesics		
DB00575	Adrenergic alpha-2 Receptor Agonists		
DB00576	Anti-Infective Agents		
DB00577	Antiviral Agents		
DB00577	Prodrugs		
DB00578	Anti-Bacterial Agents		
DB00578	Penicillins		
DB00579	Adrenergic Uptake Inhibitors		
DB00579	Central Nervous System Stimulants		
DB00579	Dopamine Uptake Inhibitors		
DB00580	Anti-Inflammatory Agents, Non-Steroidal		
DB00581	Gastrointestinal Agents		
DB00582	Antifungal Agents		
DB00582	14-alpha Demethylase Inhibitors		
DB00583	Vitamin B Complex		
DB00583	Dietary Supplements		
DB00584	Angiotensin-Converting Enzyme Inhibitors		
DB00584	Antihypertensive Agents		
DB00585	Anti-Ulcer Agents		
DB00585	Histamine H2 Antagonists		
DB00586	Anti-Inflammatory Agents, Non-Steroidal		
DB00586	Cyclooxygenase Inhibitors		
DB00587	Anti-Arrhythmia Agents		
DB00589	Antiparkinson Agents		
DB00589	Dopamine Agonists		
DB00589	Serotonin Receptor Agonists		
DB00589	Antidyskinetics		
DB00590	Antihypertensive Agents		
DB00590	Adrenergic alpha-1 Receptor Antagonists		
DB00590	Adrenergic alpha-Antagonists		
DB00591	Anti-Inflammatory Agents		
DB00591	Glucocorticoids		
DB00592	Antinematodal Agents		
DB00593	Anticonvulsants		
DB00593	Succinimides		
DB00594	Diuretics		
DB00594	Epithelial Sodium Channel Blockers		
DB00594	Acid Sensing Ion Channel Blockers		
DB00594	Sodium Channel Blockers		
DB00595	Tetracyclines		
DB00597	Contrast Media		
DB00598	Antihypertensive Agents		
DB00598	Sympathomimetics		
DB00598	Adrenergic alpha-1 Receptor Antagonists		
DB00598	Adrenergic beta-Antagonists		
DB00599	Hypnotics and Sedatives		
DB00599	Anticonvulsants		
DB00599	Anesthetics, Intravenous		
DB00599	GABA Modulators		
DB00600	Dermatologic Agents		
DB00601	Anti-Bacterial Agents		
DB00602	Insecticides		
DB00602	Antiparasitic Agents		
DB00603	Antineoplastic Agents, Hormonal		
DB00603	Contraceptive Agents, Female		
DB00603	Contraceptive Agents, Male		
DB00603	Contraceptive Agents		
DB00604	Serotonin Receptor Agonists		
DB00604	Prokinetic Agents		
DB00605	Anti-Inflammatory Agents, Non-Steroidal		
DB00606	Antihypertensive Agents		
DB00606	Diuretics		
DB00607	Anti-Bacterial Agents		
DB00607	Penicillins		
DB00608	Antirheumatic Agents		
DB00608	Antimalarials		
DB00608	Amebicides		
DB00609	Antitubercular Agents		
DB00609	Fatty Acid Synthesis Inhibitors		
DB00610	Vasoconstrictor Agents		
DB00610	Sympathomimetics		
DB00610	Adrenergic alpha-1 Receptor Agonists		
DB00611	Analgesics, Opioid		
DB00611	Narcotics		
DB00611	Antitussive Agents		
DB00611	Narcotic Antagonists		
DB00612	Antihypertensive Agents		
DB00612	Adrenergic beta-1 Receptor Antagonists		
DB00612	Sympatholytics		
DB00614	Anti-Infective Agents, Local		
DB00614	Anti-Infective Agents, Urinary		
DB00614	Antitrichomonal Agents		
DB00614	Monoamine Oxidase Inhibitors		
DB00615	Anti-Bacterial Agents		
DB00615	Antibiotics, Antitubercular		
DB00616	Prodrugs		
DB00618	Anti-Bacterial Agents		
DB00618	Tetracyclines		
DB00619	Antineoplastic Agents		
DB00619	Protein Kinase Inhibitors		
DB00620	Anti-Inflammatory Agents		
DB00620	Glucocorticoids		
DB00621	Anabolic Agents		
DB00621	Androgens		
DB00622	Antihypertensive Agents		
DB00622	Anti-Arrhythmia Agents		
DB00622	Vasodilator Agents		
DB00622	Calcium Channel Blockers		
DB00622	Dihydropyridines		
DB00623	Antipsychotic Agents		
DB00623	Dopamine Antagonists		
DB00623	Phenothiazines		
DB00624	Androgens		
DB00625	Anti-HIV Agents		
DB00625	Reverse Transcriptase Inhibitors		
DB00627	Vitamin B Complex		
DB00627	Vasodilator Agents		
DB00627	Hypolipidemic Agents		
DB00629	Antihypertensive Agents		
DB00629	Adrenergic alpha-2 Receptor Agonists		
DB00630	Bone Density Conservation Agents		
DB00630	Antihypocalcemic Agents		
DB00630	Antiresorptives		
DB00630	Bisphosphonates		
DB00631	Purine analogues		
DB00632	Antiviral Agents		
DB00632	Dermatologic Agents		
DB00633	Hypnotics and Sedatives		
DB00633	Analgesics, Non-Narcotic		
DB00633	Adrenergic alpha-2 Receptor Agonists		
DB00634	Anti-Infective Agents, Local		
DB00634	Anti-Infective Agents, Urinary		
DB00634	Sulfonamides		
DB00635	Antineoplastic Agents, Hormonal		
DB00635	Anti-Inflammatory Agents		
DB00635	Glucocorticoids		
DB00636	Anticholesteremic Agents		
DB00636	Hypolipidemic Agents		
DB00637	Histamine Antagonists		
DB00638	Diagnostic Agents		
DB00639	Antifungal Agents		
DB00640	Anti-Arrhythmia Agents		
DB00640	Analgesics		
DB00640	Vasodilator Agents		
DB00640	Cardiovascular Agents		
DB00641	Anticholesteremic Agents		
DB00641	Hydroxymethylglutaryl-CoA Reductase Inhibitors		
DB00641	Hypolipidemic Agents		
DB00643	Tubulin Modulators		
DB00643	Antinematodal Agents		
DB00645	Anesthetics, Local		
DB00646	Ionophores		
DB00647	Analgesics, Opioid		
DB00647	Narcotics		
DB00647	Antitussive Agents		
DB00648	Antineoplastic Agents, Hormonal		
DB00649	Anti-HIV Agents		
DB00649	Antimetabolites		
DB00649	Reverse Transcriptase Inhibitors		
DB00650	Vitamin B Complex		
DB00650	Vitamins		
DB00650	Antidotes		
DB00650	Anti-anemic Agents		
DB00650	Antineoplastics, Adjuncts		
DB00651	Phosphodiesterase Inhibitors		
DB00651	Bronchodilator Agents		
DB00651	Vasodilator Agents		
DB00651	Muscle Relaxants, Respiratory		
DB00652	Analgesics, Opioid		
DB00652	Narcotics		
DB00652	Adjuvants, Anesthesia		
DB00652	Narcotic Antagonists		
DB00653	Anti-Arrhythmia Agents		
DB00653	Analgesics		
DB00653	Anticonvulsants		
DB00653	Calcium Channel Blockers		
DB00653	Tocolytic Agents		
DB00653	Anesthetics		
DB00655	Estrogens		
DB00655	Anti-menopausal Agents		
DB00656	Antidepressive Agents, Second-Generation		
DB00656	Anti-Anxiety Agents		
DB00656	Serotonin Uptake Inhibitors		
DB00659	Alcohol Deterrents		
DB00660	Neuromuscular Agents		
DB00661	Anti-Arrhythmia Agents		
DB00661	Vasodilator Agents		
DB00661	Calcium Channel Blockers		
DB00662	Antiemetics		
DB00664	Antimalarials		
DB00664	Anti-Infective Agents		
DB00664	Anti-Infective Agents, Urinary		
DB00665	Antineoplastic Agents		
DB00665	Androgen Antagonists		
DB00666	Antiendometriotic agent		
DB00666	Gonadotropin-releasing hormone agonist		
DB00667	Histamine Agents		
DB00667	Diagnostic Agents		
DB00668	Vasoconstrictor Agents		
DB00668	Sympathomimetics		
DB00668	Bronchodilator Agents		
DB00668	Adrenergic alpha-Agonists		
DB00668	Mydriatics		
DB00668	Adrenergic beta-Agonists		
DB00669	Vasoconstrictor Agents		
DB00669	Serotonin Antagonists		
DB00669	Serotonin 5-HT1 Receptor Agonists		
DB00669	Serotonin Receptor Agonists		
DB00670	Anti-Ulcer Agents		
DB00670	Muscarinic Antagonists		
DB00670	Antispasmodics		
DB00671	Anti-Bacterial Agents		
DB00671	Cephalosporins		
DB00672	Hypoglycemic Agents		
DB00672	Antidiabetic Agents		
DB00674	Nootropic Agents		
DB00674	Cholinesterase Inhibitors		
DB00674	Parasympathomimetics		
DB00675	Antineoplastic Agents, Hormonal		
DB00675	Bone Density Conservation Agents		
DB00675	Estrogen Antagonists		
DB00675	Selective Estrogen Receptor Modulators		
DB00676	Insecticides		
DB00676	Acaricides		
DB00677	Cholinesterase Inhibitors		
DB00677	Protease Inhibitors		
DB00677	Anti-glaucoma Agents		
DB00677	Ophthalmics		
DB00678	Antihypertensive Agents		
DB00678	Anti-Arrhythmia Agents		
DB00678	Angiotensin II Type 1 Receptor Blockers		
DB00678	Angiotensin Receptor Antagonists		
DB00679	Antipsychotic Agents		
DB00679	Dopamine Antagonists		
DB00679	Phenothiazines		
DB00680	Anti-Arrhythmia Agents		
DB00680	Voltage-Gated Sodium Channel Blockers		
DB00681	Antifungal Agents		
DB00681	Anti-Bacterial Agents		
DB00681	Antiprotozoal Agents		
DB00681	Amebicides		
DB00682	Anticoagulants		
DB00682	Rodenticides		
DB00683	Anti-Anxiety Agents		
DB00683	Hypnotics and Sedatives		
DB00683	Anesthetics, Intravenous		
DB00683	Adjuvants, Anesthesia		
DB00683	GABA Modulators		
DB00684	Anti-Bacterial Agents		
DB00684	Aminoglycosides		
DB00685	Anti-Infective Agents		
DB00685	Fluoroquinolones		
DB00685	Quinolones		
DB00687	Anti-Inflammatory Agents		
DB00688	Immunosuppressive Agents		
DB00689	Anti-Bacterial Agents		
DB00689	Cephalosporins		
DB00691	Angiotensin-Converting Enzyme Inhibitors		
DB00692	Antihypertensive Agents		
DB00692	Adrenergic alpha-Antagonists		
DB00693	Contrast Media		
DB00693	Fluorescent Dyes		
DB00694	Antibiotics, Antineoplastic		
DB00694	Antibiotics		
DB00695	Diuretics		
DB00695	Sodium Potassium Chloride Symporter Inhibitors		
DB00697	Analgesics		
DB00697	Anticonvulsants		
DB00697	Parasympatholytics		
DB00697	Muscle Relaxants, Central		
DB00697	Adrenergic alpha-2 Receptor Agonists		
DB00697	Neuromuscular Agents		
DB00697	Muscle Relaxants, Skeletal		
DB00698	Anti-Infective Agents		
DB00698	Anti-Infective Agents, Urinary		
DB00699	Nootropic Agents		
DB00699	Vasodilator Agents		
DB00699	Adrenergic alpha-Antagonists		
DB00700	Mineralocorticoid Receptor Antagonists		
DB00701	Anti-HIV Agents		
DB00701	Antibiotics, Antitubercular		
DB00701	HIV Protease Inhibitors		
DB00702	Dialysis Solutions		
DB00702	Diuretics, Osmotic		
DB00704	Appetite Depressants		
DB00704	Narcotic Antagonists		
DB00704	Central Nervous System Depressants		
DB00704	Alcohol Antagonists		
DB00705	Reverse Transcriptase Inhibitors		
DB00706	Adrenergic alpha-1 Receptor Antagonists		
DB00707	Antineoplastic Agents		
DB00707	Dermatologic Agents		
DB00707	Photosensitizing Agents		
DB00708	Anesthetics, Intravenous		
DB00708	Analgesics, Opioid		
DB00708	Narcotics		
DB00708	Adjuvants, Anesthesia		
DB00709	Anti-HIV Agents		
DB00709	Reverse Transcriptase Inhibitors		
DB00710	Bone Density Conservation Agents		
DB00710	Antihypocalcemic Agents		
DB00710	Antiresorptives		
DB00710	Bisphosphonates		
DB00711	Lipoxygenase Inhibitors		
DB00711	Filaricides		
DB00712	Anti-Inflammatory Agents, Non-Steroidal		
DB00712	Cyclooxygenase Inhibitors		
DB00712	Analgesics		
DB00713	Penicillins		
DB00714	Antiparkinson Agents		
DB00714	Dopamine Agonists		
DB00714	Antidyskinetics		
DB00715	Serotonin Uptake Inhibitors		
DB00715	Antidepressive Agents		
DB00716	Anti-Allergic Agents		
DB00716	Anti-Asthmatic Agents		
DB00716	Anti-Inflammatory Agents		
DB00717	Contraceptives, Oral, Synthetic		
DB00718	Antiviral Agents		
DB00718	Reverse Transcriptase Inhibitors		
DB00719	Histamine H1 Antagonists		
DB00720	Bone Density Conservation Agents		
DB00720	Antihypocalcemic Agents		
DB00720	Bisphosphonates		
DB00721	Anesthetics, Local		
DB00723	Vasoconstrictor Agents		
DB00723	Sympathomimetics		
DB00723	Adrenergic alpha-1 Receptor Agonists		
DB00724	Antineoplastic Agents		
DB00724	Adjuvants, Immunologic		
DB00724	Interferon Inducers		
DB00725	Muscarinic Antagonists		
DB00725	Antispasmodics		
DB00726	Adrenergic Uptake Inhibitors		
DB00726	Antidepressive Agents, Tricyclic		
DB00726	Antidepressive Agents		
DB00727	Vasodilator Agents		
DB00727	Explosive Agents		
DB00728	Muscle Relaxants, Skeletal		
DB00730	Anthelmintics		
DB00731	Hypoglycemic Agents		
DB00731	Meglitinides		
DB00733	Cholinesterase Reactivators		
DB00734	Antipsychotic Agents		
DB00734	Serotonin Antagonists		
DB00734	Dopamine Antagonists		
DB00736	Proton Pump Inhibitors		
DB00736	Histamine Antagonists		
DB00737	Anti-Allergic Agents		
DB00737	Histamine H1 Antagonists		
DB00737	Histamine Antagonists		
DB00737	Antiemetics		
DB00738	Antifungal Agents		
DB00738	Antiprotozoal Agents		
DB00738	Trypanocidal Agents		
DB00739	Penicillins		
DB00741	Anti-Inflammatory Agents		
DB00742	Sweetening Agents		
DB00742	Diuretics, Osmotic		
DB00743	Contrast Media		
DB00744	Anti-Inflammatory Agents, Non-Steroidal		
DB00744	Lipoxygenase Inhibitors		
DB00744	Leukotriene Antagonists		
DB00745	Central Nervous System Stimulants		
DB00745	Appetite Depressants		
DB00745	Neuroprotective Agents		
DB00745	Stimulants		
DB00746	Chelating Agents		
DB00746	Siderophores		
DB00747	Muscarinic Antagonists		
DB00747	Adjuvants		
DB00747	Antispasmodics		
DB00748	Histamine H1 Antagonists		
DB00748	Histamine Antagonists		
DB00749	Anti-Inflammatory Agents, Non-Steroidal		
DB00749	Cyclooxygenase 2 Inhibitors		
DB00750	Anesthetics, Local		
DB00751	Histamine H1 Antagonists		
DB00751	Histamine Antagonists		
DB00751	Ophthalmics		
DB00752	Antidepressive Agents		
DB00753	Anesthetics, Inhalation		
DB00753	Anesthetics		
DB00754	Anticonvulsants		
DB00755	Antineoplastic Agents		
DB00755	Keratolytic Agents		
DB00756	Anti-Infective Agents		
DB00757	Serotonin Antagonists		
DB00757	Antiemetics		
DB00758	Platelet Aggregation Inhibitors		
DB00759	Anti-Bacterial Agents		
DB00759	Protein Synthesis Inhibitors		
DB00759	Antiprotozoal Agents		
DB00759	Tetracyclines		
DB00760	Anti-Bacterial Agents		
DB00762	Antineoplastic Agents, Phytogenic		
DB00762	Radiation-Sensitizing Agents		
DB00762	Topoisomerase I Inhibitors		
DB00762	Prodrugs		
DB00763	Antithyroid Agents		
DB00765	Enzyme Inhibitors		
DB00766	Enzyme Inhibitors		
DB00766	Anti-Bacterial Agents		
DB00767	Antipsychotic Agents		
DB00767	Antiemetics		
DB00768	Histamine H1 Antagonists		
DB00768	Histamine Antagonists		
DB00769	Anti-Inflammatory Agents		
DB00769	Corticosteroids		
DB00771	Anti-Arrhythmia Agents		
DB00771	Muscarinic Antagonists		
DB00771	Cholinergic Antagonists		
DB00771	Antispasmodics		
DB00772	Cholinesterase Inhibitors		
DB00772	Insecticides		
DB00773	Antineoplastic Agents, Phytogenic		
DB00774	Antihypertensive Agents		
DB00774	Diuretics		
DB00774	Sodium Chloride Symporter Inhibitors		
DB00775	Fibrinolytic Agents		
DB00775	Platelet Aggregation Inhibitors		
DB00776	Anticonvulsants		
DB00777	Hypnotics and Sedatives		
DB00777	Histamine Antagonists		
DB00777	Antiemetics		
DB00778	Macrolides		
DB00779	Anti-Bacterial Agents		
DB00780	Antidepressive Agents		
DB00780	Monoamine Oxidase Inhibitors		
