drugbank_id	smpdb-id	name	drugs (placeholder)enzymes (placeholder to uniprot_id	
DB00001	SMP00278	Lepirudin Action Pathway	
DB00157	SMP00725	Fructose intolerance, hereditary	
DB00157	SMP00013	Cysteine Metabolism	
DB00157	SMP00064	Fructose and Mannose Degradation	
DB00157	SMP00032	Valine, Leucine and Isoleucine Degradation	
DB00157	SMP00138	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	
DB00157	SMP00384	Methylmalonate Semialdehyde Dehydrogenase Deficiency	
DB00157	SMP00035	Bile Acid Biosynthesis	
DB00157	SMP00345	Congenital Erythropoietic Porphyria (CEP) or Gunther Disease	
DB00157	SMP00316	Zellweger Syndrome	
DB00157	SMP00201	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	
DB00157	SMP00522	3-hydroxyisobutyric aciduria	
DB00157	SMP00561	Fructosuria	
DB00157	SMP00068	Androgen and Estrogen Metabolism	
DB00157	SMP00199	Maple Syrup Urine Disease	
DB00157	SMP00200	Methylmalonic Aciduria	
DB00157	SMP00024	Porphyrin Metabolism	
DB00157	SMP00315	Cerebrotendinous Xanthomatosis (CTX)	
DB00157	SMP00342	Hereditary Coproporphyria (HCP)	
DB00157	SMP00492	Ureidopropionase deficiency	
DB00157	SMP00499	Beta-mercaptolactate-cysteine disulfiduria	
DB00157	SMP00523	Isobutyryl-coa dehydrogenase deficiency	
DB00157	SMP00543	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00157	SMP00314	Congenital Bile Acid Synthesis Defect Type II	
DB00157	SMP00182	Galactosemia	
DB00157	SMP00424	Citalopram Action Pathway	
DB00157	SMP00493	Carnosinuria, carnosinemia	
DB00157	SMP00565	Aromatase deficiency	
DB00157	SMP00720	27-Hydroxylase Deficiency	
DB00157	SMP00173	Beta-Ketothiolase Deficiency	
DB00157	SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	
DB00157	SMP00238	Isovaleric Aciduria	
DB00157	SMP00351	GABA-Transaminase Deficiency	
DB00157	SMP00043	Galactose Metabolism	
DB00157	SMP00609	Mercaptopurine Metabolism Pathway	
DB00157	SMP00724	Folate malabsorption, hereditary	
DB00157	SMP00007	Beta-Alanine Metabolism	
DB00157	SMP00356	17-Beta Hydroxysteroid Dehydrogenase III Deficiency	
DB00157	SMP00137	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	
DB00157	SMP00139	3-Methylglutaconic Aciduria Type I	
DB00157	SMP00344	Acute Intermittent Porphyria	
DB00157	SMP00318	Congenital Bile Acid Synthesis Defect Type III	
DB00157	SMP00432	Methotrexate Action Pathway	
DB00157	SMP00357	Argininemia	
DB00157	SMP00361	Hyperprolinemia Type I	
DB00157	SMP00341	Hypermethioninemia	
DB00157	SMP00063	Tryptophan Metabolism	
DB00157	SMP00218	Tyrosinemia Type I	
DB00157	SMP00504	Creatine deficiency, guanidinoacetate methyltransferase deficiency	
DB00157	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00157	SMP00196	Leigh Syndrome	
DB00157	SMP00003	Argininosuccinic Aciduria	
DB00157	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00157	SMP00001	Citrullinemia Type I	
DB00157	SMP00558	Primary hyperoxaluria II, PH2	
DB00157	SMP00654	Warburg Effect	
DB00157	SMP00334	Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)	
DB00157	SMP00559	Pyruvate kinase deficiency	
DB00157	SMP00009	Ammonia Recycling	
DB00157	SMP00060	Pyruvate Metabolism	
DB00157	SMP00212	Pyruvate Dehydrogenase Complex Deficiency	
DB00157	SMP00059	Urea Cycle	
DB00157	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00157	SMP00033	Methionine Metabolism	
DB00157	SMP00208	Prolinemia Type II	
DB00157	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB00157	SMP00498	Dopamine beta-hydroxylase deficiency	
DB00157	SMP00505	Hyperornithinemia with gyrate atrophy (HOGA)	
DB00157	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB00157	SMP00203	Molybdenum Cofactor Deficiency	
DB00157	SMP00210	Purine Nucleoside Phosphorylase Deficiency	
DB00157	SMP00244	Sarcosinemia	
DB00157	SMP00485	Hyperglycinemia, non-ketotic	
DB00157	SMP00536	Mitochondrial DNA depletion syndrome	
DB00157	SMP00207	Prolidase Deficiency (PD)	
DB00157	SMP00188	Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)	
DB00157	SMP00222	Glycine N-methyltransferase Deficiency	
DB00157	SMP00494	Tyrosinemia, transient, of the newborn	
DB00157	SMP00506	Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]	
DB00157	SMP00385	Homocarnosinosis	
DB00157	SMP00169	Alkaptonuria	
DB00157	SMP00507	L-arginine:glycine amidinotransferase deficiency	
DB00157	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB00157	SMP00020	Arginine and Proline Metabolism	
DB00157	SMP00362	Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)	
DB00157	SMP00363	Ornithine Aminotransferase Deficiency (OAT Deficiency)	
DB00157	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00157	SMP00006	Tyrosine Metabolism	
DB00157	SMP00072	Glutamate Metabolism	
DB00157	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB00157	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB00157	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB00157	SMP00360	Hyperprolinemia Type II	
DB00157	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB00157	SMP00221	Methionine Adenosyltransferase Deficiency	
DB00157	SMP00190	Hawkinsinuria	
DB00157	SMP00144	Adenosine Deaminase Deficiency	
DB00157	SMP00168	AICA-Ribosiduria	
DB00157	SMP00004	Glycine and Serine Metabolism	
DB00157	SMP00430	Thioguanine Action Pathway	
DB00157	SMP00429	Disulfiram Action Pathway	
DB00157	SMP00537	Myoadenylate deaminase deficiency	
DB00157	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00157	SMP00428	Mercaptopurine Action Pathway	
DB00157	SMP00512	Xanthinuria type I	
DB00157	SMP00365	Gout or Kelley-Seegmiller Syndrome	
DB00157	SMP00050	Purine Metabolism	
DB00157	SMP00167	Adenylosuccinate Lyase Deficiency	
DB00157	SMP00223	Non Ketotic Hyperglycinemia	
DB00157	SMP00427	Azathioprine Action Pathway	
DB00157	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00157	SMP00513	Xanthinuria type II	
DB00157	SMP00535	Adenine phosphoribosyltransferase deficiency (APRT)	
DB00157	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00157	SMP00364	Lesch-Nyhan Syndrome (LNS)	
DB00157	SMP00220	Xanthine Dehydrogenase Deficiency (Xanthinuria)	
DB00157	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00158	SMP00053	Folate Metabolism	
DB00158	SMP00724	Folate malabsorption, hereditary	
DB00158	SMP00432	Methotrexate Action Pathway	
DB00158	SMP00543	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB00159	SMP00018	Alpha Linolenic Acid and Linoleic Acid Metabolism	
DB00160	SMP00127	Glucose-Alanine Cycle	
DB00160	SMP00029	Selenoamino Acid Metabolism	
DB00160	SMP00143	5-Oxoprolinuria	
DB00160	SMP00055	Alanine Metabolism	
DB00160	SMP00313	Lactic Acidemia	
DB00160	SMP00352	Primary Hyperoxaluria Type I	
DB00160	SMP00183	Gamma-Glutamyltransferase Deficiency	
DB00160	SMP00501	Gamma-glutamyl-transpeptidase deficiency	
DB00160	SMP00015	Glutathione Metabolism	
DB00160	SMP00337	Glutathione Synthetase Deficiency	
DB00160	SMP00500	5-oxoprolinase deficiency	
DB00160	SMP00350	Pyruvate Carboxylase Deficiency	
DB00160	SMP00262	Clomocycline Action Pathway	
DB00160	SMP00248	Clarithromycin Action Pathway	
DB00160	SMP00255	Kanamycin Action Pathway	
DB00160	SMP00290	Demeclocycline Action Pathway	
DB00160	SMP00292	Minocycline Action Pathway	
DB00160	SMP00730	Troleandomycin Action Pathway	
DB00160	SMP00357	Argininemia	
DB00160	SMP00249	Clindamycin Action Pathway	
DB00160	SMP00256	Neomycin Action Pathway	
DB00160	SMP00291	Doxycycline Action Pathway	
DB00160	SMP00293	Oxytetracycline Action Pathway	
DB00160	SMP00711	Tobramycin Action Pathway	
DB00160	SMP00713	Arbekacin Action Pathway	
DB00160	SMP00726	Rolitetracycline Action Pathway	
DB00160	SMP00731	Josamycin Action Pathway	
DB00160	SMP00003	Argininosuccinic Aciduria	
DB00160	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB00160	SMP00250	Erythromycin Action Pathway	
DB00160	SMP00252	Telithromycin Action Pathway	
DB00160	SMP00257	Netilmicin Action Pathway	
DB00160	SMP00294	Tetracycline Action Pathway	
DB00160	SMP00712	Tigecycline Action Pathway	
DB00160	SMP00714	Paromomycin Action Pathway	
DB00160	SMP00727	Methacycline Action Pathway	
DB00160	SMP00247	Azithromycin Action Pathway	
DB00160	SMP00254	Gentamicin Action Pathway	
DB00160	SMP00259	Streptomycin Action Pathway	
DB00160	SMP00729	Chloramphenicol Action Pathway	
DB00160	SMP00059	Urea Cycle	
DB00160	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB00160	SMP00001	Citrullinemia Type I	
DB00160	SMP00251	Roxithromycin Action Pathway	
DB00160	SMP00253	Amikacin Action Pathway	
DB00160	SMP00258	Spectinomycin Action Pathway	
DB00160	SMP00295	Lymecycline Action Pathway	
DB00160	SMP00728	Lincomycin Action Pathway	
DB00160	SMP00063	Tryptophan Metabolism	
DB00160	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB00160	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB00160	SMP00385	Homocarnosinosis	
DB00160	SMP00072	Glutamate Metabolism	
DB00160	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB00160	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB00160	SMP00244	Sarcosinemia	
DB00160	SMP00485	Hyperglycinemia, non-ketotic	
DB00160	SMP00004	Glycine and Serine Metabolism	
DB00160	SMP00223	Non Ketotic Hyperglycinemia	
DB00160	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB00160	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB00160	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB00160	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB00161	SMP00137	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	
DB00161	SMP00139	3-Methylglutaconic Aciduria Type I	
DB00161	SMP00173	Beta-Ketothiolase Deficiency	
DB00161	SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	
DB00161	SMP00238	Isovaleric Aciduria	
DB00161	SMP00199	Maple Syrup Urine Disease	
DB00161	SMP00200	Methylmalonic Aciduria	
DB00161	SMP00523	Isobutyryl-coa dehydrogenase deficiency	
DB00161	SMP00236	Propionic Acidemia	
DB00161	SMP00140	3-Methylglutaconic Aciduria Type III	
DB00161	SMP00016	Propanoate Metabolism	
DB00161	SMP00198	Malonic Aciduria	
DB00161	SMP00141	3-Methylglutaconic Aciduria Type IV	
DB00161	SMP00502	Malonyl-coa decarboxylase deficiency	
DB00161	SMP00521	3-hydroxyisobutyric acid dehydrogenase deficiency	
DB00161	SMP00524	Isovaleric acidemia	
DB00161	SMP00032	Valine, Leucine and Isoleucine Degradation	
DB00161	SMP00138	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	
DB00161	SMP00384	Methylmalonate Semialdehyde Dehydrogenase Deficiency	
DB00161	SMP00201	Methylmalonic Aciduria Due to Cobalamin-Related Disorders	
DB00161	SMP00522	3-hydroxyisobutyric aciduria	
DB00161	SMP00247	Azithromycin Action Pathway	
DB00161	SMP00254	Gentamicin Action Pathway	
DB00161	SMP00259	Streptomycin Action Pathway	
DB00161	SMP00729	Chloramphenicol Action Pathway	
DB00161	SMP00251	Roxithromycin Action Pathway	
DB00161	SMP00253	Amikacin Action Pathway	
DB00161	SMP00258	Spectinomycin Action Pathway	
DB00161	SMP00295	Lymecycline Action Pathway	
DB00161	SMP00728	Lincomycin Action Pathway	
DB00161	SMP00262	Clomocycline Action Pathway	
DB00161	SMP00248	Clarithromycin Action Pathway	
DB00161	SMP00255	Kanamycin Action Pathway	
DB00161	SMP00290	Demeclocycline Action Pathway	
DB00161	SMP00292	Minocycline Action Pathway	
DB00161	SMP00730	Troleandomycin Action Pathway	
DB00161	SMP00250	Erythromycin Action Pathway	
DB00161	SMP00252	Telithromycin Action Pathway	
DB00161	SMP00257	Netilmicin Action Pathway	
DB00161	SMP00294	Tetracycline Action Pathway	
DB00161	SMP00712	Tigecycline Action Pathway	
DB00161	SMP00714	Paromomycin Action Pathway	
DB00161	SMP00727	Methacycline Action Pathway	
DB00161	SMP00249	Clindamycin Action Pathway	
DB00161	SMP00256	Neomycin Action Pathway	
DB00161	SMP00291	Doxycycline Action Pathway	
DB00161	SMP00293	Oxytetracycline Action Pathway	
DB00161	SMP00711	Tobramycin Action Pathway	
DB00161	SMP00713	Arbekacin Action Pathway	
DB00161	SMP00726	Rolitetracycline Action Pathway	
DB00161	SMP00731	Josamycin Action Pathway	
DB00162	SMP00074	Retinol Metabolism	
DB00162	SMP00336	Vitamin A Deficiency	
DB00165	SMP00503	Hypophosphatasia	
DB00165	SMP00017	Vitamin B6 Metabolism	
DB00167	SMP00137	2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency	
DB00167	SMP00139	3-Methylglutaconic Aciduria Type I	
DB00167	SMP00236	Propionic Acidemia	
DB00167	SMP00140	3-Methylglutaconic Aciduria Type III	
DB00167	SMP00141	3-Methylglutaconic Aciduria Type IV	
DB00167	SMP00521	3-hydroxyisobutyric acid dehydrogenase deficiency	
DB00167	SMP00524	Isovaleric acidemia	
DB00167	SMP00173	Beta-Ketothiolase Deficiency	
DB00167	SMP00237	3-Methylcrotonyl Coa Carboxylase Deficiency Type I	
DB00167	SMP00238	Isovaleric Aciduria	
DB00167	SMP00199	Maple Syrup Urine Disease	
DB00167	SMP00200	Methylmalonic Aciduria	
DB00167	SMP00523	Isobutyryl-coa dehydrogenase deficiency	
DB00167	SMP00032	Valine, Leucine and Isoleucine Degradation	
DB00167	SMP00138	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	
DB00167	SMP00384	Methylmalonate Semialdehyde Dehydrogenase Deficiency	
DB00167	SMP00522	3-hydroxyisobutyric aciduria	
DB00167	SMP00247	Azithromycin Action Pathway	
DB00167	SMP00254	Gentamicin Action Pathway	
DB00167	SMP00259	Streptomycin Action Pathway	
DB00167	SMP00729	Chloramphenicol Action Pathway	
DB00167	SMP00262	Clomocycline Action Pathway	
DB00167	SMP00248	Clarithromycin Action Pathway	
DB00167	SMP00255	Kanamycin Action Pathway	
DB00167	SMP00290	Demeclocycline Action Pathway	
DB00167	SMP00292	Minocycline Action Pathway	
DB00167	SMP00730	Troleandomycin Action Pathway	
DB00167	SMP00251	Roxithromycin Action Pathway	
DB00167	SMP00253	Amikacin Action Pathway	
DB00167	SMP00258	Spectinomycin Action Pathway	
DB00167	SMP00295	Lymecycline Action Pathway	
DB00167	SMP00728	Lincomycin Action Pathway	
DB00167	SMP00250	Erythromycin Action Pathway	
DB00167	SMP00252	Telithromycin Action Pathway	
DB00167	SMP00257	Netilmicin Action Pathway	
DB00167	SMP00294	Tetracycline Action Pathway	
DB00167	SMP00712	Tigecycline Action Pathway	
DB00167	SMP00714	Paromomycin Action Pathway	
DB00167	SMP00727	Methacycline Action Pathway	
DB00167	SMP00249	Clindamycin Action Pathway	
DB00167	SMP00256	Neomycin Action Pathway	
DB00167	SMP00291	Doxycycline Action Pathway	
DB00167	SMP00293	Oxytetracycline Action Pathway	
DB00167	SMP00711	Tobramycin Action Pathway	
DB00167	SMP00713	Arbekacin Action Pathway	
DB00167	SMP00726	Rolitetracycline Action Pathway	
DB00167	SMP00731	Josamycin Action Pathway	
DB00169	SMP00119	Fluvastatin Action Pathway	
DB00169	SMP00387	CHILD Syndrome	
DB00169	SMP00508	Cholesteryl ester storage disease	
DB00169	SMP00386	Desmosterolosis	
DB00169	SMP00107	Zoledronate Action Pathway	
DB00169	SMP00131	Atorvastatin Action Pathway	
DB00169	SMP00319	Lysosomal Acid Lipase Deficiency (Wolman Disease)	
DB00169	SMP00079	Ibandronate Action Pathway	
DB00169	SMP00089	Pravastatin Action Pathway	
DB00169	SMP00112	Risedronate Action Pathway	
DB00169	SMP00510	Mevalonic aciduria	
DB00169	SMP00389	Smith-Lemli-Opitz Syndrome (SLOS)	
DB00169	SMP00082	Simvastatin Action Pathway	
DB00169	SMP00092	Rosuvastatin Action Pathway	
DB00169	SMP00117	Pamidronate Action Pathway	
DB00169	SMP00511	Wolman disease	
DB00169	SMP00023	Steroid Biosynthesis	
DB00169	SMP00388	Chondrodysplasia Punctata II, X Linked Dominant (CDPX2)	
DB00169	SMP00095	Alendronate Action Pathway	
DB00169	SMP00209	Hypercholesterolemia	
DB00169	SMP00099	Lovastatin Action Pathway	
DB00169	SMP00111	Cerivastatin Action Pathway	
DB00169	SMP00509	Hyper-IgD syndrome	
DB00171	SMP00418	Adefovir Dipivoxil  Action Pathway	
DB00171	SMP00419	Tenofovir  Action Pathway	
DB00171	SMP00435	Docetaxel Action Pathway	
DB00171	SMP00472	Erlotinib Action Pathway	
DB00171	SMP00438	Vindesine Action Pathway	
DB00171	SMP00467	Trehalose Degradation	
DB00171	SMP00434	Paclitaxel Action Pathway	
DB00171	SMP00437	Vincristine Action Pathway	
DB00171	SMP00076	Thiamine Metabolism	
DB00171	SMP00462	Inositol Phosphate Metabolism	
DB00171	SMP00463	Phosphatidylinositol Phosphate Metabolism	
DB00171	SMP00461	Gliclazide Action Pathway	
DB00171	SMP00310	Corticotropin Activation of Cortisol Production	
DB00171	SMP00322	Vasopressin Regulation of Water Homeostasis	
DB00171	SMP00516	Adrenoleukodystrophy, X-linked	
DB00171	SMP00603	Gemcitabine Metabolism Pathway	
DB00171	SMP00610	Clopidogrel Metabolism Pathway	
DB00171	SMP00630	Tenofovir Metabolism Pathway	
DB00171	SMP00642	Nevirapine Metabolism Pathway	
DB00171	SMP00737	Abacavir Action Pathway	
DB00171	SMP00742	Lamivudine  Action Pathway	
DB00171	SMP00744	Rilpivirine Action Pathway	
DB00171	SMP00066	Biotin Metabolism	
DB00171	SMP00436	Vinblastine Action Pathway	
DB00171	SMP00311	Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin 	
DB00171	SMP00333	Intracellular Signalling Through FSH Receptor and Follicle Stimulating Hormone	
DB00171	SMP00338	Intracellular Signalling Through LHCGR Receptor and Luteinizing Hormone/Choriogonadotropin	
DB00171	SMP00517	Carnitine-acylcarnitine translocase deficiency	
DB00171	SMP00643	Pancreas Function	
DB00171	SMP00738	Delavirdine Action Pathway	
DB00171	SMP00745	Stavudine Action Pathway	
DB00171	SMP00460	Glibenclamide Action Pathway	
DB00171	SMP00309	Excitatory Neural Signalling Through 5-HTR 4 and Serotonin	
DB00171	SMP00629	Adefovir Dipivoxil Metabolism Pathway	
DB00171	SMP00741	Emtricitabine Action Pathway	
DB00171	SMP00743	Nevirapine  Action Pathway	
DB00171	SMP00174	Biotinidase Deficiency	
DB00171	SMP00458	Lactose Intolerance	
DB00171	SMP00439	Vinorelbine Action Pathway	
DB00171	SMP00260	Clopidogrel Action Pathway	
DB00171	SMP00454	Repaglinide Action Pathway	
DB00171	SMP00582	Joubert syndrome	
DB00171	SMP00589	Gastric Acid Production	
DB00171	SMP00740	Efavirenz Action Pathway	
DB00171	SMP00747	Zidovudine Action Pathway	
DB00171	SMP00052	Beta Oxidation of Very Long Chain Fatty Acids	
DB00171	SMP00457	Lactose Degradation	
DB00171	SMP00446	Gemcitabine Action Pathway	
DB00171	SMP00453	Nateglinide Action Pathway	
DB00171	SMP00312	Excitatory Neural Signalling Through 5-HTR 6 and Serotonin 	
DB00171	SMP00335	Intracellular Signalling Through Histamine H2 Receptor and Histamine	
DB00171	SMP00564	Multiple carboxylase deficiency, neonatal or early onset form	
DB00171	SMP00588	Muscle/Heart Contraction	
DB00171	SMP00746	Zalcitabine Action Pathway	
DB00171	SMP00433	Irinotecan Action Pathway	
DB00171	SMP00225	Esomeprazole Action Pathway	
DB00171	SMP00232	Cimetidine Action Pathway	
DB00171	SMP00297	Alprenolol Action Pathway	
DB00171	SMP00304	Oxprenolol Action Pathway	
DB00171	SMP00324	Procainamide (Antiarrhythmic) Action Pathway	
DB00171	SMP00331	Flecainide Action Pathway	
DB00171	SMP00368	Labetalol Action Pathway	
DB00171	SMP00376	Amlodipine Action Pathway	
DB00171	SMP00381	Nisoldipine Action Pathway	
DB00171	SMP00660	Sotalol Action Pathway	
DB00171	SMP00667	Metipranolol Action Pathway	
DB00171	SMP00480	Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids	
DB00171	SMP00226	Omeprazole Action Pathway	
DB00171	SMP00233	Nizatidine Action Pathway	
DB00171	SMP00298	Atenolol Action Pathway	
DB00171	SMP00305	Penbutolol Action Pathway	
DB00171	SMP00325	Disopyramide Action Pathway	
DB00171	SMP00332	Ibutilide Action Pathway	
DB00171	SMP00377	Felodipine Action Pathway	
DB00171	SMP00382	Nitrendipine Action Pathway	
DB00171	SMP00568	Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)	
DB00171	SMP00657	Bopindolol Action Pathway	
DB00171	SMP00661	Epinephrine Action Pathway	
DB00171	SMP00663	Isoprenaline Action Pathway	
DB00171	SMP00668	Bevantolol Action Pathway	
DB00171	SMP00228	Pantoprazole Action Pathway	
DB00171	SMP00230	Ranitidine Action Pathway	
DB00171	SMP00300	Bisoprolol Action Pathway	
DB00171	SMP00302	Metoprolol Action Pathway	
DB00171	SMP00307	Propranolol Action Pathway	
DB00171	SMP00329	Mexiletine Action Pathway	
DB00171	SMP00366	Nebivolol Action Pathway	
DB00171	SMP00379	Nifedipine Action Pathway	
DB00171	SMP00308	Dopamine Activation of Neurological Reward System	
DB00171	SMP00354	Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin	
DB00171	SMP00665	Amiodarone Action Pathway	
DB00171	SMP00670	Bupranolol Action Pathway	
DB00171	SMP00735	Metiamide Action Pathway	
DB00171	SMP00466	Transfer of Acetyl Groups into Mitochondria	
DB00171	SMP00229	Rabeprazole Action Pathway	
DB00171	SMP00231	Famotidine Action Pathway	
DB00171	SMP00296	Acebutolol Action Pathway	
DB00171	SMP00301	Esmolol Action Pathway	
DB00171	SMP00303	Nadolol Action Pathway	
DB00171	SMP00323	Quinidine Action Pathway	
DB00171	SMP00330	Tocainide Action Pathway	
DB00171	SMP00367	Carvedilol Action Pathway	
DB00171	SMP00375	Verapamil Action Pathway	
DB00171	SMP00380	Nimodipine Action Pathway	
DB00171	SMP00659	Timolol Action Pathway	
DB00171	SMP00666	Levobunolol Action Pathway	
DB00171	SMP00736	Betazole Action Pathway	
DB00171	SMP00126	Phenylacetate Metabolism	
DB00171	SMP00227	Lansoprazole Action Pathway	
DB00171	SMP00246	Pirenzepine Action Pathway	
DB00171	SMP00299	Betaxolol Action Pathway	
DB00171	SMP00306	Pindolol Action Pathway	
DB00171	SMP00359	Diltiazem Action Pathway	
DB00171	SMP00378	Isradipine Action Pathway	
DB00171	SMP00343	Intracellular Signalling Through PGD2 receptor and Prostaglandin D2	
DB00171	SMP00600	Irinotecan Metabolism Pathway	
DB00171	SMP00658	Carteolol Action Pathway	
DB00171	SMP00662	Dobutamine Action Pathway	
DB00171	SMP00664	Arbutamine Action Pathway	
DB00171	SMP00669	Practolol Action Pathway	
DB00171	SMP00734	Roxatidine acetate Action Pathway	
DB00171	SMP00739	Didanosine Action Pathway	
DB00171	SMP00039	Glycerolipid Metabolism	
DB00171	SMP00403	Proparacaine Action Pathway	
DB00171	SMP00410	Hydromorphone Action Pathway	
DB00171	SMP00417	Sufentanil Action Pathway	
DB00171	SMP00529	D-glyceric acidura	
DB00171	SMP00637	Tramadol Metabolism Pathway	
DB00171	SMP00649	Lamivudine Metabolism Pathway	
DB00171	SMP00672	Propoxyphene Action Pathway	
DB00171	SMP00674	Anileridine Action Pathway	
DB00171	SMP00686	Pentazocine Action Pathway	
DB00171	SMP00691	Nalbuphine Action Pathway	
DB00171	SMP00679	3-Methylthiofentanyl Action Pathway	
DB00171	SMP00394	Chloroprocaine Action Pathway	
DB00171	SMP00399	Mepivacaine Action Pathway	
DB00171	SMP00406	Morphine Action Pathway	
DB00171	SMP00411	Hydrocodone Action Pathway	
DB00171	SMP00530	Familial lipoprotein lipase deficiency	
DB00171	SMP00650	Doxorubicin Metabolism Pathway	
DB00171	SMP00675	Diphenoxylate Action Pathway	
DB00171	SMP00680	Dimethylthiambutene Action Pathway	
DB00171	SMP00687	Naltrexone Action Pathway	
DB00171	SMP00452	Threonine and 2-Oxobutanoate Degradation	
DB00171	SMP00393	Bupivacaine Action Pathway	
DB00171	SMP00396	Dibucaine Action Pathway	
DB00171	SMP00401	Prilocaine Action Pathway	
DB00171	SMP00413	Alfentanil Action Pathway	
DB00171	SMP00415	Fentanyl Action Pathway	
DB00171	SMP00320	Intracellular Signalling Through Adenosine Receptor A2a and Adenosine	
DB00171	SMP00640	Acetaminophen Metabolism Pathway	
DB00171	SMP00677	Levomethadyl Acetate Action Action Pathway	
DB00171	SMP00684	Buprenorphine Action Pathway	
DB00171	SMP00689	Dihydromorphine Action Pathway	
DB00171	SMP00397	Levobupivacaine Action Pathway	
DB00171	SMP00402	Procaine Action Pathway	
DB00171	SMP00404	Ropivacaine Action Pathway	
DB00171	SMP00409	Oxycodone Action Pathway	
DB00171	SMP00416	Remifentanil Action Pathway	
DB00171	SMP00425	Escitalopram Action Pathway	
DB00171	SMP00321	Intracellular Signalling Through Adenosine Receptor A2b and Adenosine	
DB00171	SMP00671	Tramadol Action Action Pathway	
DB00171	SMP00673	Levorphanol Action Pathway	
DB00171	SMP00678	Methadyl Acetate Action Pathway	
DB00171	SMP00685	Alvimopan Action Pathway	
DB00171	SMP00690	Ketobemidone  Action Pathway	
DB00171	SMP00011	Inositol Metabolism	
DB00171	SMP00481	Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids	
DB00171	SMP00187	Glycerol Kinase Deficiency	
DB00171	SMP00326	Fosphenytoin (Antiarrhythmic) Action Pathway	
DB00171	SMP00392	Benzocaine Action Pathway	
DB00171	SMP00395	Cocaine Action Pathway	
DB00171	SMP00400	Oxybuprocaine Action Pathway	
DB00171	SMP00412	Oxymorphone Action Pathway	
DB00171	SMP00414	Carfentanil Action Pathway	
DB00171	SMP00423	Desipramine Action Pathway	
DB00171	SMP00676	Dezocine Action Pathway	
DB00171	SMP00681	Ethylmorphine Action Pathway	
DB00171	SMP00683	Levallorphan Action Pathway	
DB00171	SMP00688	Naloxone Action Pathway	
DB00171	SMP00057	Citric Acid Cycle	
DB00171	SMP00010	Nucleotide Sugars Metabolism	
DB00171	SMP00181	Ethylmalonic Encephalopathy	
DB00171	SMP00348	Globoid Cell Leukodystrophy	
DB00171	SMP00442	Etoposide Action Pathway	
DB00171	SMP00398	Lidocaine (Local Anaesthetic) Action Pathway	
DB00171	SMP00426	Fluoxetine Action Pathway	
